region,species,year,abundance.all,abundance.hatch,abundance.nat
ak.pws,chum,1975,0.206894,0,0.206894
ak.pws,chum,1976,0.551623,0,0.551623
ak.pws,chum,1977,0.934704,0,0.934704
ak.pws,chum,1978,0.836567,0,0.836567
ak.pws,chum,1979,0.504695,0,0.504695
ak.pws,chum,1980,0.615024,0,0.615024
ak.pws,chum,1981,2.047742,0,2.047742
ak.pws,chum,1982,2.063943403,0.005907403,2.058036
ak.pws,chum,1983,1.840682,0.00317,1.837512
ak.pws,chum,1984,1.618519,0.00002,1.618499
ak.pws,chum,1985,3.178839,1.527188,1.651651
ak.pws,chum,1986,2.175368,0.2686,1.906768
ak.pws,chum,1987,2.81151,0.379784,2.431726
ak.pws,chum,1988,3.104512,0.505566,2.598946
ak.pws,chum,1989,1.748964,0.422932,1.326032
ak.pws,chum,1990,1.439808,0.441807,0.998001
ak.pws,chum,1991,0.409669,0.168919,0.24075
ak.pws,chum,1992,0.622279,0.381766,0.240513
ak.pws,chum,1993,1.543648,1.207144,0.336504
ak.pws,chum,1994,1.465997,1.046694,0.419303
ak.pws,chum,1995,1.1255,0.726368,0.399132
ak.pws,chum,1996,2.474693,1.802944,0.671749
ak.pws,chum,1997,2.597815,1.866448,0.731367
ak.pws,chum,1998,1.948797,1.24366,0.705137
ak.pws,chum,1999,3.849958,2.773698,1.07626
ak.pws,chum,2000,6.038124,4.761426,1.276698
ak.pws,chum,2001,4.161152,2.788514,1.372638
ak.pws,chum,2002,7.17173,6.363566,0.808164
ak.pws,chum,2003,6.42197371,3.678575,2.74339871
ak.pws,chum,2004,2.54176877,1.993457,0.54831177
ak.pws,chum,2005,2.65961245,2.1479,0.51171245
ak.pws,chum,2006,2.72929245,2.016489,0.71280345
ak.pws,chum,2007,4.1243398,3.453472,0.6708678
ak.pws,chum,2008,5.13737554,4.832154,0.30522154
ak.pws,chum,2009,3.54952595,3.126926,0.42259995
ak.pws,chum,2010,4.93200403,4.069313,0.86269103
ak.pws,chum,2011,2.5924132,1.795223,0.7971902
ak.pws,chum,2012,4.89583975,4.758210545,0.137629205
ak.pws,chum,2013,4.52099731,4.010169,0.51082831
ak.pws,chum,2014,1.9254469,1.259891,0.6655559
ak.pws,chum,2015,2.66693665,2.334,0.33293665
ak.pws,pink,1952,3.386469507,0,3.386469507
ak.pws,pink,1953,3.188460392,0,3.188460392
ak.pws,pink,1954,4.295367883,0,4.295367883
ak.pws,pink,1955,4.295367883,0,4.295367883
ak.pws,pink,1956,5.916930685,0,5.916930685
ak.pws,pink,1957,1.492567731,0,1.492567731
ak.pws,pink,1958,7.671564129,0,7.671564129
ak.pws,pink,1959,4.295367883,0,4.295367883
ak.pws,pink,1960,5.714378798,0,5.714378798
ak.pws,pink,1961,8.602633138,0,8.602633138
ak.pws,pink,1962,12.52789513,0,12.52789513
ak.pws,pink,1963,9.182247266,0,9.182247266
ak.pws,pink,1964,9.486941872,0,9.486941872
ak.pws,pink,1965,5.258509991,0,5.258509991
ak.pws,pink,1966,6.77960722,0,6.77960722
ak.pws,pink,1967,5.041076239,0,5.041076239
ak.pws,pink,1968,5.767850339,0,5.767850339
ak.pws,pink,1969,5.988470055,0,5.988470055
ak.pws,pink,1970,5.617392789,0,5.617392789
ak.pws,pink,1971,10.50061423,0,10.50061423
ak.pws,pink,1972,1.893028413,0,1.893028413
ak.pws,pink,1973,5.568947954,0,5.568947954
ak.pws,pink,1974,3.19567667,0,3.19567667
ak.pws,pink,1975,8.081130688,0,8.081130688
ak.pws,pink,1976,5.674552927,0,5.674552927
ak.pws,pink,1977,8.284048661,0.044,8.240048661
ak.pws,pink,1978,6.217405156,0.15462,6.062785156
ak.pws,pink,1979,22.03805873,0.562955,21.47510373
ak.pws,pink,1980,18.71921896,1.583837,17.13538196
ak.pws,pink,1981,25.12904821,2.361909,22.76713921
ak.pws,pink,1982,26.97482859,5.933952,21.04087659
ak.pws,pink,1983,20.40983917,4.804043,15.60579617
ak.pws,pink,1984,33.97708465,5.2482,28.72888465
ak.pws,pink,1985,33.25862696,8.426571,24.83205596
ak.pws,pink,1986,14.56711731,7.210456,7.356661312
ak.pws,pink,1987,34.29280072,18.488427,15.80437372
ak.pws,pink,1988,14.97346196,11.405775,3.567686963
ak.pws,pink,1989,27.86068056,20.740704,7.11997656
ak.pws,pink,1990,48.14767919,32.748688,15.39899119
ak.pws,pink,1991,41.09183749,30.117125,10.97471249
ak.pws,pink,1992,10.31920776,7.877459,2.441748757
ak.pws,pink,1993,8.389238271,4.855228,3.534010271
ak.pws,pink,1994,36.91823563,29.613221,7.305014633
ak.pws,pink,1995,20.98541177,14.829163,6.156248771
ak.pws,pink,1996,28.11907949,20.849647,7.269432486
ak.pws,pink,1997,31.14881234,25.904011,5.244801339
ak.pws,pink,1998,33.51493745,25.589365,7.92557245
ak.pws,pink,1999,56.35720137,42.353882,14.00331937
ak.pws,pink,2000,44.59995961,34.112659,10.48730061
ak.pws,pink,2001,42.39767059,29.808328,12.58934259
ak.pws,pink,2002,23.03203081,20.0065,3.02553081
ak.pws,pink,2003,63.20436686,50.514818,12.68954886
ak.pws,pink,2004,29.82769546,21.166271,8.661424455
ak.pws,pink,2005,76.42171889,50.572836,25.84888289
ak.pws,pink,2006,26.82116938,21.29246469,5.528704689
ak.pws,pink,2007,69.06473821,54.72024033,14.34449787
ak.pws,pink,2008,45.3841243,41.483321,3.900803303
ak.pws,pink,2009,24.4866879,18.24650224,6.240185662
ak.pws,pink,2010,77.14525724,69.245897,7.899360239
ak.pws,pink,2011,44.61507177,27.639885,16.97518677
